transaction_id,date,store_id,sku_id,quantity_sold,selling_price,payment_mode,brand,liquor_type,size_ml,cost_price,mrp_x,mrp_y,excise_tax_pct,vat_pct,gross_revenue,cogs,excise_tax,vat_tax,total_tax,net_profit
13,2024-03-04,4,1013,6,493.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,2958.0,6090.0,147.9,73.95,1331.1000000000001,-4463.1
14,2024-02-01,4,1017,2,1484.0,Card,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,2968.0,2432.0,296.8,222.6,1038.8,-502.79999999999995
15,2024-01-07,9,1009,9,1242.0,Cash,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,11178.0,3249.0,372.6,186.3,5030.1,2898.8999999999996
16,2024-01-21,8,1008,6,824.0,UPI,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,4944.0,5574.0,164.8,98.88,1582.08,-2212.08
17,2024-01-20,6,1020,8,1924.0,Cash,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,15392.0,4296.0,577.2,192.4,6156.8,4939.2
18,2024-01-26,1,1018,1,1040.0,UPI,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,1040.0,495.0,312.0,156.0,468.0,77.0
19,2024-03-08,2,1013,5,1161.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,5805.0,5075.0,348.3,174.15,2612.25,-1882.25
20,2024-03-26,6,1016,1,1253.0,Cash,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,1253.0,1475.0,375.9,125.3,501.2,-723.2
21,2024-01-15,2,1009,10,1602.0,UPI,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,16020.0,3610.0,480.6,240.3,7209.000000000001,5200.999999999999
22,2024-03-25,10,1012,11,1574.0,Card,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,17314.0,5159.0,314.8,236.1,6059.9,6095.1
23,2024-03-19,5,1012,8,2043.0,UPI,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,16344.0,3752.0,408.6,306.45,5720.4,6871.6
24,2024-03-26,5,1006,8,2487.0,Cash,Bacardi,Gin,375,902.0,792,792,20.0,15.0,19896.0,7216.0,497.4,373.05,6963.6,5716.4
25,2024-01-14,6,1019,1,1091.0,Card,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,1091.0,919.0,218.2,163.65,381.85,-209.85000000000002
26,2024-01-27,6,1007,9,845.0,Card,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,7605.0,5409.0,211.25,126.75,3042.0,-846.0
27,2024-02-09,6,1003,2,2144.0,UPI,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,4288.0,2442.0,536.0,214.4,1500.8,345.20000000000005
28,2024-02-27,2,1016,9,1316.0,UPI,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,11844.0,13275.0,394.8,131.6,4737.599999999999,-6168.599999999999
29,2024-01-28,10,1018,1,2227.0,Cash,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,2227.0,495.0,668.1,334.05,1002.1500000000001,729.8499999999999
30,2024-01-26,3,1016,10,1853.0,Card,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,18530.0,14750.0,555.9,185.3,7412.0,-3632.0
31,2024-03-03,6,1007,9,356.0,Cash,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,3204.0,5409.0,89.0,53.4,1281.6000000000001,-3486.6000000000004
32,2024-03-06,8,1004,4,2459.0,UPI,Kingfisher,Tequila,180,765.0,1063,1063,20.0,10.0,9836.0,3060.0,491.8,245.9,2950.8,3825.2
33,2024-01-25,1,1008,9,304.0,Card,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,2736.0,8361.0,60.8,36.48,875.52,-6500.52
34,2024-01-03,1,1013,7,1737.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,12159.0,7105.0,521.1,260.55,5471.550000000001,-417.5500000000011
35,2024-03-12,2,1013,11,1662.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,18282.0,11165.0,498.6,249.3,8226.900000000001,-1109.9000000000015
36,2024-02-13,6,1017,6,2120.0,Cash,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,12720.0,7296.0,424.0,318.0,4452.0,972.0
37,2024-02-11,9,1017,5,1582.0,Cash,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,7910.0,6080.0,316.4,237.3,2768.5,-938.5
38,2024-01-06,4,1005,11,2437.0,Cash,Absolut,Gin,750,1329.0,679,679,30.0,12.0,26807.0,14619.0,731.1,292.44,11258.939999999999,929.0600000000013
39,2024-02-08,3,1006,9,1573.0,Card,Bacardi,Gin,375,902.0,792,792,20.0,15.0,14157.0,8118.0,314.6,235.95,4954.95,1084.0500000000002
40,2024-02-21,8,1019,2,1431.0,Cash,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,2862.0,1838.0,286.2,214.65,1001.7,22.299999999999955
41,2024-01-23,10,1013,11,967.0,Card,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,10637.0,11165.0,290.1,145.05,4786.650000000001,-5314.650000000001
42,2024-03-29,9,1014,2,1581.0,Cash,McDowell's,Gin,375,1494.0,1462,1462,25.0,12.0,3162.0,2988.0,395.25,189.72,1169.94,-995.94
43,2024-02-19,5,1004,11,1296.0,UPI,Kingfisher,Tequila,180,765.0,1063,1063,20.0,10.0,14256.0,8415.0,259.2,129.6,4276.799999999999,1564.2000000000007
44,2024-02-12,9,1007,9,2226.0,UPI,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,20034.0,5409.0,556.5,333.9,8013.599999999999,6611.400000000001
45,2024-01-19,2,1008,3,581.0,Cash,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,1743.0,2787.0,116.2,69.72,557.76,-1601.76
46,2024-03-09,3,1013,8,1527.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,12216.0,8120.0,458.1,229.05,5497.200000000001,-1401.2000000000007
47,2024-02-20,7,1006,11,2363.0,Card,Bacardi,Gin,375,902.0,792,792,20.0,15.0,25993.0,9922.0,472.6,354.45,9097.55,6973.450000000001
48,2024-01-11,7,1006,9,1235.0,Cash,Bacardi,Gin,375,902.0,792,792,20.0,15.0,11115.0,8118.0,247.0,185.25,3890.25,-893.25
49,2024-01-12,6,1003,8,553.0,Card,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,4424.0,9768.0,138.25,55.3,1548.4,-6892.4
50,2024-03-14,6,1003,4,1511.0,Cash,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,6044.0,4884.0,377.75,151.1,2115.4,-955.4000000000001
51,2024-01-08,2,1013,1,628.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,628.0,1015.0,188.4,94.2,282.6,-669.6
52,2024-01-24,10,1002,4,1720.0,Card,Jack Daniels,Beer,750,1225.0,1376,1376,30.0,15.0,6880.0,4900.0,516.0,258.0,3096.0,-1116.0
53,2024-02-10,6,1016,9,1840.0,UPI,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,16560.0,13275.0,552.0,184.0,6624.0,-3339.0
54,2024-02-05,4,1006,2,1492.0,UPI,Bacardi,Gin,375,902.0,792,792,20.0,15.0,2984.0,1804.0,298.4,223.8,1044.4,135.5999999999999
55,2024-03-25,3,1008,3,2016.0,Cash,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,6048.0,2787.0,403.2,241.92,1935.3600000000001,1325.6399999999999
56,2024-03-12,2,1008,10,1501.0,Card,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,15010.0,9290.0,300.2,180.12,4803.2,916.8000000000002
57,2024-02-24,1,1006,8,954.0,UPI,Bacardi,Gin,375,902.0,792,792,20.0,15.0,7632.0,7216.0,190.8,143.1,2671.2,-2255.2
58,2024-01-09,5,1014,6,1685.0,Cash,McDowell's,Gin,375,1494.0,1462,1462,25.0,12.0,10110.0,8964.0,421.25,202.2,3740.7000000000003,-2594.7000000000003
59,2024-02-16,2,1003,8,1059.0,Cash,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,8472.0,9768.0,264.75,105.9,2965.2,-4261.2
60,2024-01-15,2,1010,7,2098.0,Cash,Absolut,Brandy,375,401.0,1667,1667,30.0,15.0,14686.0,2807.0,629.4,314.7,6608.699999999999,5270.300000000001
61,2024-02-17,7,1003,5,1363.0,UPI,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,6815.0,6105.0,340.75,136.3,2385.25,-1675.25
62,2024-03-22,8,1012,9,715.0,Cash,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,6435.0,4221.0,143.0,107.25,2252.25,-38.25
63,2024-02-11,10,1017,4,554.0,Card,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,2216.0,4864.0,110.8,83.1,775.5999999999999,-3423.6
64,2024-02-29,8,1005,6,1466.0,Card,Absolut,Gin,750,1329.0,679,679,30.0,12.0,8796.0,7974.0,439.8,175.92,3694.32,-2872.32
65,2024-03-24,4,1020,2,2176.0,UPI,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,4352.0,1074.0,652.8,217.6,1740.8,1537.2
66,2024-03-10,1,1009,2,1199.0,Card,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,2398.0,722.0,359.7,179.85,1079.1,596.9000000000001
67,2024-01-12,7,1020,2,2358.0,Cash,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,4716.0,1074.0,707.4,235.8,1886.4,1755.6
68,2024-01-02,1,1007,10,325.0,UPI,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,3250.0,6010.0,81.25,48.75,1300.0,-4060.0
69,2024-01-07,4,1004,7,720.0,Cash,Kingfisher,Tequila,180,765.0,1063,1063,20.0,10.0,5040.0,5355.0,144.0,72.0,1512.0,-1827.0
70,2024-03-20,8,1013,2,1544.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,3088.0,2030.0,463.2,231.6,1389.6,-331.5999999999999
71,2024-01-03,2,1013,2,2176.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,4352.0,2030.0,652.8,326.4,1958.3999999999999,363.60000000000014
72,2024-01-03,6,1010,9,1560.0,Cash,Absolut,Brandy,375,401.0,1667,1667,30.0,15.0,14040.0,3609.0,468.0,234.0,6318.0,4113.0
73,2024-01-27,6,1018,7,1308.0,Card,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,9156.0,3465.0,392.4,196.2,4120.199999999999,1570.800000000001
74,2024-02-09,9,1017,11,518.0,Card,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,5698.0,13376.0,103.6,77.7,1994.3000000000002,-9672.3
75,2024-02-02,5,1020,3,1810.0,UPI,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,5430.0,1611.0,543.0,181.0,2172.0,1647.0
76,2024-01-01,10,1020,3,2259.0,Cash,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,6777.0,1611.0,677.7,225.9,2710.8,2455.2
77,2024-01-08,4,1013,7,962.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,6734.0,7105.0,288.6,144.3,3030.3,-3401.3
78,2024-02-01,5,1017,5,1289.0,UPI,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,6445.0,6080.0,257.8,193.35,2255.75,-1890.75
79,2024-02-17,10,1004,10,488.0,Card,Kingfisher,Tequila,180,765.0,1063,1063,20.0,10.0,4880.0,7650.0,97.6,48.8,1463.9999999999998,-4234.0
80,2024-01-04,5,1001,6,554.0,Cash,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,3324.0,7824.0,138.5,66.48,1229.88,-5729.88
81,2024-03-10,8,1001,8,367.0,Card,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,2936.0,10432.0,91.75,44.04,1086.32,-8582.32
82,2024-01-19,10,1015,9,915.0,Card,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,8235.0,5895.0,274.5,109.8,3458.7000000000003,-1118.7000000000003
83,2024-02-01,8,1013,1,1173.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,1173.0,1015.0,351.9,175.95,527.8499999999999,-369.8499999999999
84,2024-01-09,2,1017,3,1925.0,UPI,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,5775.0,3648.0,385.0,288.75,2021.25,105.75
85,2024-01-12,7,1008,11,656.0,Card,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,7216.0,10219.0,131.2,78.72,2309.12,-5312.12
86,2024-01-11,8,1018,7,555.0,Cash,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,3885.0,3465.0,166.5,83.25,1748.25,-1328.25
87,2024-02-15,6,1013,6,1307.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,7842.0,6090.0,392.1,196.05,3528.9000000000005,-1776.9000000000005
88,2024-01-16,5,1014,7,2055.0,UPI,McDowell's,Gin,375,1494.0,1462,1462,25.0,12.0,14385.0,10458.0,513.75,246.6,5322.45,-1395.4499999999998
89,2024-01-01,9,1008,8,583.0,Card,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,4664.0,7432.0,116.6,69.96,1492.48,-4260.48
90,2024-03-03,3,1008,6,398.0,Cash,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,2388.0,5574.0,79.6,47.76,764.1599999999999,-3950.16
91,2024-01-21,10,1015,3,496.0,Cash,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,1488.0,1965.0,148.8,59.52,624.96,-1101.96
92,2024-01-30,4,1013,2,1177.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,2354.0,2030.0,353.1,176.55,1059.3000000000002,-735.3000000000002
93,2024-01-13,9,1007,7,2168.0,Card,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,15176.0,4207.0,542.0,325.2,6070.400000000001,4898.599999999999
94,2024-02-03,6,1005,11,1688.0,Cash,Absolut,Gin,750,1329.0,679,679,30.0,12.0,18568.0,14619.0,506.4,202.56,7798.56,-3849.5600000000004
95,2024-01-04,8,1017,1,869.0,UPI,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,869.0,1216.0,173.8,130.35,304.15,-651.15
96,2024-01-28,7,1016,3,1365.0,Cash,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,4095.0,4425.0,409.5,136.5,1638.0,-1968.0
97,2024-02-28,2,1002,11,721.0,Cash,Jack Daniels,Beer,750,1225.0,1376,1376,30.0,15.0,7931.0,13475.0,216.3,108.15,3568.9500000000007,-9112.95
98,2024-01-27,3,1018,4,1504.0,Cash,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,6016.0,1980.0,451.2,225.6,2707.2,1328.8000000000002
99,2024-03-09,1,1017,1,844.0,UPI,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,844.0,1216.0,168.8,126.6,295.4,-667.4
100,2024-01-25,9,1007,5,370.0,Card,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,1850.0,3005.0,92.5,55.5,740.0,-1895.0
101,2024-01-03,7,1013,10,1523.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,15230.0,10150.0,456.9,228.45,6853.499999999999,-1773.499999999999
102,2024-03-08,1,1018,3,1067.0,Card,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,3201.0,1485.0,320.1,160.05,1440.45,275.54999999999995
103,2024-01-25,3,1014,2,2006.0,Cash,McDowell's,Gin,375,1494.0,1462,1462,25.0,12.0,4012.0,2988.0,501.5,240.72,1484.44,-460.44000000000005
104,2024-01-20,4,1018,3,954.0,Card,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,2862.0,1485.0,286.2,143.1,1287.8999999999999,89.10000000000014
105,2024-02-03,4,1013,8,2096.0,Cash,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,16768.0,8120.0,628.8,314.4,7545.599999999999,1102.4000000000005
106,2024-01-26,5,1011,6,520.0,Cash,Jack Daniels,Beer,180,1195.0,1452,1452,25.0,10.0,3120.0,7170.0,130.0,52.0,1092.0,-5142.0
107,2024-01-05,3,1016,7,481.0,UPI,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,3367.0,10325.0,144.3,48.1,1346.8,-8304.8
108,2024-03-01,3,1017,6,606.0,Cash,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,3636.0,7296.0,121.2,90.9,1272.6000000000001,-4932.6
109,2024-01-09,1,1008,6,1719.0,UPI,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,10314.0,5574.0,343.8,206.28,3300.4800000000005,1439.5199999999995
110,2024-02-19,7,1019,3,1313.0,Card,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,3939.0,2757.0,262.6,196.95,1378.65,-196.6500000000001
111,2024-01-06,10,1020,8,2351.0,Card,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,18808.0,4296.0,705.3,235.1,7523.2,6988.8
112,2024-03-23,1,1015,7,1147.0,Cash,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,8029.0,4585.0,344.1,137.64,3372.1800000000003,71.81999999999971
113,2024-02-29,2,1009,7,1103.0,UPI,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,7721.0,2527.0,330.9,165.45,3474.45,1719.5500000000002
114,2024-02-13,4,1020,6,514.0,Cash,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,3084.0,3222.0,154.2,51.4,1233.6,-1371.6
115,2024-01-11,4,1010,5,1743.0,UPI,Absolut,Brandy,375,401.0,1667,1667,30.0,15.0,8715.0,2005.0,522.9,261.45,3921.7499999999995,2788.2500000000005
116,2024-03-06,5,1012,10,400.0,UPI,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,4000.0,4690.0,80.0,60.0,1400.0,-2090.0
117,2024-02-16,2,1020,8,872.0,UPI,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,6976.0,4296.0,261.6,87.2,2790.4,-110.40000000000009
118,2024-03-13,4,1001,5,1632.0,Card,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,8160.0,6520.0,408.0,195.84,3019.2000000000003,-1379.2000000000003
119,2024-03-25,1,1020,9,957.0,UPI,Smirnoff,Wine,375,537.0,2096,2096,30.0,10.0,8613.0,4833.0,287.1,95.7,3445.2000000000003,334.7999999999997
120,2024-03-28,2,1009,9,1833.0,Card,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,16497.0,3249.0,549.9,274.95,7423.65,5824.35
121,2024-03-26,1,1015,1,1956.0,UPI,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,1956.0,655.0,586.8,234.72,821.52,479.48
122,2024-01-03,10,1001,6,525.0,Card,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,3150.0,7824.0,131.25,63.0,1165.5,-5839.5
123,2024-03-16,10,1012,7,404.0,Card,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,2828.0,3283.0,80.8,60.6,989.8000000000001,-1444.8000000000002
124,2024-01-30,4,1003,3,2297.0,Card,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,6891.0,3663.0,574.25,229.7,2411.8500000000004,816.1499999999996
125,2024-03-30,4,1011,7,1071.0,Cash,Jack Daniels,Beer,180,1195.0,1452,1452,25.0,10.0,7497.0,8365.0,267.75,107.1,2623.9500000000003,-3491.9500000000003
126,2024-01-21,7,1002,11,728.0,UPI,Jack Daniels,Beer,750,1225.0,1376,1376,30.0,15.0,8008.0,13475.0,218.4,109.2,3603.6000000000004,-9070.6
127,2024-01-28,10,1016,11,733.0,Cash,Jack Daniels,Gin,750,1475.0,691,691,30.0,10.0,8063.0,16225.0,219.9,73.3,3225.2,-11387.2
128,2024-03-30,9,1009,7,1530.0,UPI,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,10710.0,2527.0,459.0,229.5,4819.5,3363.5
129,2024-03-02,9,1015,11,1165.0,UPI,Bacardi,Beer,750,655.0,1822,1822,30.0,12.0,12815.0,7205.0,349.5,139.8,5382.3,227.69999999999982
130,2024-02-02,5,1012,2,550.0,Cash,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,1100.0,938.0,110.0,82.5,385.0,-223.0
131,2024-03-25,10,1001,7,1155.0,Card,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,8085.0,9128.0,288.75,138.6,2991.4500000000003,-4034.4500000000003
132,2024-02-04,1,1013,1,1493.0,UPI,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,1493.0,1015.0,447.9,223.95,671.8499999999999,-193.8499999999999
133,2024-02-21,1,1014,5,860.0,Card,McDowell's,Gin,375,1494.0,1462,1462,25.0,12.0,4300.0,7470.0,215.0,103.2,1591.0,-4761.0
134,2024-02-03,6,1008,9,1769.0,Cash,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,15921.0,8361.0,353.8,212.28,5094.72,2465.2799999999997
135,2024-02-10,2,1008,7,1218.0,Card,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,8526.0,6503.0,243.6,146.16,2728.3199999999997,-705.3199999999997
136,2024-02-20,8,1012,7,1473.0,UPI,Royal Stag,Brandy,375,469.0,2327,2327,20.0,15.0,10311.0,3283.0,294.6,220.95,3608.8499999999995,3419.1500000000005
137,2024-02-16,9,1001,11,732.0,UPI,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,8052.0,14344.0,183.0,87.84,2979.2400000000002,-9271.24
138,2024-03-22,4,1011,2,2406.0,UPI,Jack Daniels,Beer,180,1195.0,1452,1452,25.0,10.0,4812.0,2390.0,601.5,240.6,1684.2,737.8
139,2024-02-27,5,1008,8,1268.0,Cash,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,10144.0,7432.0,253.6,152.16,3246.08,-534.0799999999999
140,2024-03-15,8,1010,3,1135.0,UPI,Absolut,Brandy,375,401.0,1667,1667,30.0,15.0,3405.0,1203.0,340.5,170.25,1532.25,669.75
141,2024-02-26,3,1019,8,1197.0,Cash,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,9576.0,7352.0,239.4,179.55,3351.6000000000004,-1127.6000000000004
142,2024-01-23,5,1011,3,771.0,Card,Jack Daniels,Beer,180,1195.0,1452,1452,25.0,10.0,2313.0,3585.0,192.75,77.1,809.5500000000001,-2081.55
143,2024-02-17,3,1007,10,546.0,UPI,Bacardi,Tequila,180,601.0,1480,1480,25.0,15.0,5460.0,6010.0,136.5,81.9,2184.0,-2734.0
144,2024-01-22,10,1011,7,1290.0,UPI,Jack Daniels,Beer,180,1195.0,1452,1452,25.0,10.0,9030.0,8365.0,322.5,129.0,3160.5,-2495.5
145,2024-01-17,3,1017,2,1226.0,UPI,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,2452.0,2432.0,245.2,183.9,858.2,-838.2
146,2024-03-09,3,1001,4,1491.0,Card,Bacardi,Vodka,750,1304.0,1178,1178,25.0,12.0,5964.0,5216.0,372.75,178.92,2206.68,-1458.6799999999998
147,2024-01-11,7,1008,11,1374.0,UPI,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,15114.0,10219.0,274.8,164.88,4836.4800000000005,58.51999999999953
148,2024-01-15,7,1006,6,2134.0,Cash,Bacardi,Gin,375,902.0,792,792,20.0,15.0,12804.0,5412.0,426.8,320.1,4481.400000000001,2910.5999999999995
149,2024-03-31,7,1018,11,988.0,Card,Royal Stag,Whisky,750,495.0,718,718,30.0,15.0,10868.0,5445.0,296.4,148.2,4890.599999999999,532.4000000000005
150,2024-02-04,10,1006,9,1784.0,Card,Bacardi,Gin,375,902.0,792,792,20.0,15.0,16056.0,8118.0,356.8,267.6,5619.6,2318.3999999999996
151,2024-02-02,8,1005,5,1259.0,Card,Absolut,Gin,750,1329.0,679,679,30.0,12.0,6295.0,6645.0,377.7,151.08,2643.8999999999996,-2993.8999999999996
152,2024-03-24,5,1013,9,777.0,Card,Absolut,Vodka,180,1015.0,1795,1795,30.0,15.0,6993.0,9135.0,233.1,116.55,3146.85,-5288.85
153,2024-01-16,5,1019,5,1006.0,Card,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,5030.0,4595.0,201.2,150.9,1760.5,-1325.5
154,2024-02-03,4,1008,10,1437.0,Cash,McDowell's,Beer,375,929.0,2362,2362,20.0,12.0,14370.0,9290.0,287.4,172.44,4598.4,481.60000000000036
155,2024-03-06,7,1009,8,1053.0,Card,Kingfisher,Brandy,375,361.0,364,364,30.0,15.0,8424.0,2888.0,315.9,157.95,3790.7999999999997,1745.2000000000003
156,2024-02-09,10,1017,1,1959.0,UPI,Absolut,Tequila,180,1216.0,1998,1998,20.0,15.0,1959.0,1216.0,391.8,293.85,685.6500000000001,57.34999999999991
157,2024-01-28,4,1003,7,887.0,Card,McDowell's,Rum,180,1221.0,1091,1091,25.0,10.0,6209.0,8547.0,221.75,88.7,2173.15,-4511.15
158,2024-02-16,2,1019,4,1634.0,Card,Royal Stag,Vodka,750,919.0,678,678,20.0,15.0,6536.0,3676.0,326.8,245.1,2287.6,572.4000000000001
159,2024-02-08,4,1011,5,1792.0,Card,Jack Daniels,Beer,180,1195.0,1452,1452,25.0,10.0,8960.0,5975.0,448.0,179.2,3136.0,-151.0
